,Менеджер,Коэффициент пролонгаций 1,Коэффициент пролонгаций 2
0,Васильев Артем Александрович,0.5054413723626525,0.0711553623829544
1,Иванова Мария Сергеевна,0.21816934653736367,0.0
2,Кузнецов Михаил Иванович,0.022834305362921133,0.13280999284109704
3,Михайлов Андрей Сергеевич,0.2052081595398105,0.0
4,Петрова Анна Дмитриевна,0.0,0.0
5,Попова Екатерина Николаевна,0.2710749024324644,0.14150788342641688
6,Смирнова Ольга Владимировна,0.26404458016404403,0.6049745554699603
7,Соколова Анастасия Викторовна,0.5696400825244811,0.00983209777161043
8,Федорова Марина Васильевна,0.0,0.0
9,без А/М,0.0,0.0
